0	yes	84978
1	no	82516
2	1	12540
3	2	12215
4	white	8916
5	3	6536
6	blue	5455
7	red	5201
8	black	5066
9	0	4977
10	4	4118
11	brown	3814
12	green	3750
13	yellow	2792
14	5	2367
15	gray	2113
16	nothing	1814
17	right	1766
18	frisbee	1641
19	baseball	1597
20	left	1565
21	none	1563
22	tennis	1502
23	6	1455
24	wood	1449
25	orange	1425
26	bathroom	1230
27	pizza	1203
28	pink	1202
29	kitchen	1093
30	10	981
31	7	938
32	cat	933
33	8	911
34	dog	890
35	water	888
36	man	885
37	skateboarding	884
38	grass	879
39	skiing	866
40	kite	793
41	silver	773
42	black and white	766
43	surfing	762
44	horse	708
45	living room	702
46	skateboard	701
47	phone	697
48	snow	641
49	wii	636
50	giraffe	636
51	woman	632
52	standing	627
53	surfboard	622
54	eating	607
55	cake	601
56	food	599
57	apple	586
58	sunny	584
59	broccoli	572
60	table	564
61	hat	557
62	stop	556
63	purple	546
64	laptop	544
65	elephant	539
66	12	527
67	sheep	520
68	9	516
69	snowboarding	510
70	train	505
71	beach	497
72	motorcycle	490
73	soccer	483
74	banana	475
75	bus	474
76	cow	458
77	male	455
78	trees	454
79	walking	443
80	umbrella	442
81	winter	437
82	20	435
83	wine	432
84	sitting	420
85	flowers	418
86	bear	417
87	camera	415
88	female	413
89	tile	407
90	metal	400
91	clear	400
92	tan	396
93	many	384
94	outside	384
95	brick	383
96	car	377
97	plane	365
98	11	364
99	sandwich	361
100	donut	359
101	summer	355
102	night	349
103	bananas	347
104	bed	344
105	down	343
106	cloudy	343
107	zebra	342
108	hot dog	341
109	bench	341
110	wall	340
111	cheese	334
112	bird	325
113	fence	325
114	plate	322
115	bedroom	322
116	kites	320
117	tv	311
118	tree	309
119	fork	308
120	people	306
121	helmet	306
122	15	306
123	sand	299
124	bat	299
125	horses	298
126	beer	294
127	red and white	293
128	skis	292
129	boat	292
130	chair	289
131	birthday	288
132	bike	288
133	street	284
134	cows	280
135	couch	277
136	truck	268
137	tennis racket	268
138	coffee	268
139	up	267
140	floor	266
141	afternoon	263
142	building	263
143	dirt	261
144	glass	260
145	square	259
146	zoo	257
147	suitcase	257
148	25	254
149	concrete	252
150	airport	252
151	snowboard	251
152	stripes	247
153	nike	246
154	boy	246
155	13	243
156	teddy bear	240
157	ball	240
158	ocean	239
159	fruit	238
160	usa	237
161	no one	237
162	city	234
163	playing wii	234
164	knife	231
165	round	231
166	girl	228
167	airplane	224
168	english	221
169	plastic	221
170	carrots	221
171	tie	219
172	christmas	217
173	ground	217
174	blonde	217
175	old	215
176	toilet	215
177	flying kite	214
178	blue and white	211
179	oak	210
180	glasses	209
181	open	209
182	scissors	205
183	chinese	205
184	toothbrush	204
185	day	204
186	overcast	203
187	paper	202
188	donuts	202
189	remote	200
190	sidewalk	199
191	africa	198
192	chicken	197
193	fall	196
194	30	195
195	wii remote	194
196	clock	193
197	cold	191
198	evening	190
199	park	189
200	breakfast	188
201	cooking	187
202	window	186
203	chocolate	186
204	dell	186
205	stone	186
206	mountains	185
207	shirt	184
208	picture	184
209	plaid	184
210	office	182
211	cell phone	182
212	lettuce	182
213	light	181
214	palm	181
215	sun	179
216	vegetables	179
217	apples	179
218	mirror	179
219	50	178
220	mountain	178
221	field	177
222	clouds	176
223	restaurant	176
224	14	176
225	rectangle	174
226	elephants	174
227	ski poles	174
228	tomato	173
229	spoon	173
230	solid	172
231	daytime	169
232	nowhere	168
233	person	168
234	sleeping	167
235	carpet	166
236	sunglasses	166
237	sky	165
238	birds	165
239	unknown	165
240	fire hydrant	164
241	computer	163
242	noon	162
243	short	161
244	happy	159
245	counter	159
246	closed	158
247	fish	157
248	wedding	157
249	shorts	156
250	american	156
251	wetsuit	156
252	leaves	155
253	oranges	154
254	desk	154
255	small	154
256	salad	151
257	16	151
258	house	150
259	on table	148
260	england	147
261	sign	145
